filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
ompi/attribute/.libs/atomic.h,3,0,0.0,0,0,,2,0,0.0
ompi/attribute/.libs/atomic_impl.h,1,0,0.0,0,0,,1,0,0.0
ompi/attribute/.libs/attribute.c,374,0,0.0,361,0,0.0,27,0,0.0
ompi/attribute/.libs/attribute.h,8,0,0.0,4,0,0.0,1,0,0.0
ompi/attribute/.libs/attribute_predefined.c,77,0,0.0,92,0,0.0,7,0,0.0
ompi/attribute/.libs/communicator.h,2,0,0.0,0,0,,1,0,0.0
ompi/attribute/.libs/mutex_unix.h,4,0,0.0,0,0,,2,0,0.0
ompi/attribute/.libs/opal_hash_table.h,2,0,0.0,0,0,,1,0,0.0
ompi/attribute/.libs/opal_list.h,15,0,0.0,2,0,0.0,2,0,0.0
ompi/attribute/.libs/opal_object.h,20,0,0.0,8,0,0.0,3,0,0.0
ompi/attribute/.libs/thread_usage.h,1,0,0.0,2,0,0.0,1,0,0.0
ompi/class/.libs/atomic.h,1,0,0.0,0,0,,1,0,0.0
ompi/class/.libs/atomic_impl.h,1,0,0.0,0,0,,1,0,0.0
ompi/class/.libs/ompi_seq_tracker.c,88,0,0.0,72,0,0.0,5,0,0.0
ompi/class/.libs/opal_list.h,38,0,0.0,2,0,0.0,7,0,0.0
ompi/class/.libs/opal_object.h,20,0,0.0,8,0,0.0,3,0,0.0
ompi/class/.libs/thread_usage.h,1,0,0.0,2,0,0.0,1,0,0.0
ompi/communicator/.libs/atomic.h,17,0,0.0,0,0,,6,0,0.0
ompi/communicator/.libs/atomic_impl.h,2,0,0.0,0,0,,2,0,0.0
ompi/communicator/.libs/attribute.h,8,0,0.0,4,0,0.0,1,0,0.0
ompi/communicator/.libs/bit_ops.h,6,0,0.0,2,0,0.0,1,0,0.0
ompi/communicator/.libs/comm.c,813,0,0.0,533,0,0.0,30,0,0.0
ompi/communicator/.libs/comm_cid.c,459,0,0.0,240,0,0.0,29,0,0.0
ompi/communicator/.libs/comm_init.c,182,0,0.0,121,0,0.0,10,0,0.0
ompi/communicator/.libs/comm_request.c,116,0,0.0,64,0,0.0,11,0,0.0
ompi/communicator/.libs/communicator.h,8,0,0.0,2,0,0.0,4,0,0.0
ompi/communicator/.libs/condition.h,4,0,0.0,2,0,0.0,1,0,0.0
ompi/communicator/.libs/group.h,17,0,0.0,6,0,0.0,5,0,0.0
ompi/communicator/.libs/mutex_unix.h,6,0,0.0,0,0,,3,0,0.0
ompi/communicator/.libs/ompi_datatype.h,4,0,0.0,0,0,,2,0,0.0
ompi/communicator/.libs/op.h,35,0,0.0,16,0,0.0,1,0,0.0
ompi/communicator/.libs/opal_datatype.h,3,0,0.0,0,0,,1,0,0.0
ompi/communicator/.libs/opal_free_list.h,32,0,0.0,16,0,0.0,6,0,0.0
ompi/communicator/.libs/opal_lifo.h,38,0,0.0,10,0,0.0,5,0,0.0
ompi/communicator/.libs/opal_list.h,29,0,0.0,2,0,0.0,5,0,0.0
ompi/communicator/.libs/opal_object.h,20,0,0.0,8,0,0.0,3,0,0.0
ompi/communicator/.libs/opal_pointer_array.h,9,0,0.0,8,0,0.0,2,0,0.0
ompi/communicator/.libs/proc.h,21,0,0.0,0,0,,4,0,0.0
ompi/communicator/.libs/request.h,33,0,0.0,28,0,0.0,4,0,0.0
ompi/communicator/.libs/thread_usage.h,3,0,0.0,8,0,0.0,3,0,0.0
ompi/communicator/.libs/wait_sync.h,12,0,0.0,8,0,0.0,2,0,0.0
ompi/communicator/communicator.h,4,0,0.0,0,0,,2,0,0.0
ompi/contrib/libompitrace/.libs/abort.c,6,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/accumulate.c,9,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/add_error_class.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/add_error_code.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/add_error_string.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/allgather.c,12,0,0.0,4,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/allgatherv.c,12,0,0.0,4,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/alloc_mem.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/allreduce.c,10,0,0.0,2,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/barrier.c,6,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/bcast.c,9,0,0.0,2,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/finalize.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/get_address.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/init.c,4,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/isend.c,9,0,0.0,2,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/recv.c,9,0,0.0,2,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/reduce.c,10,0,0.0,2,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/request_free.c,5,0,0.0,0,0,,1,0,0.0
ompi/contrib/libompitrace/.libs/send.c,9,0,0.0,2,0,0.0,1,0,0.0
ompi/contrib/libompitrace/.libs/sendrecv.c,14,0,0.0,4,0,0.0,1,0,0.0
ompi/datatype/.libs/atomic.h,10,9,0.9,0,0,,3,2,0.667
ompi/datatype/.libs/atomic_impl.h,2,1,0.5,0,0,,2,1,0.5
ompi/datatype/.libs/mutex_unix.h,4,0,0.0,0,0,,2,0,0.0
ompi/datatype/.libs/ompi_datatype.h,19,10,0.526,2,0,0.0,7,5,0.7140000000000001
ompi/datatype/.libs/ompi_datatype_args.c,386,177,0.45899999999999996,169,64,0.379,9,6,0.667
ompi/datatype/.libs/ompi_datatype_create.c,52,45,0.865,20,11,0.55,3,3,1.0
ompi/datatype/.libs/ompi_datatype_create_contiguous.c,7,7,1.0,4,3,0.75,1,1,1.0
ompi/datatype/.libs/ompi_datatype_create_darray.c,131,0,0.0,74,0,0.0,3,0,0.0
ompi/datatype/.libs/ompi_datatype_create_indexed.c,84,56,0.667,44,22,0.5,4,3,0.75
ompi/datatype/.libs/ompi_datatype_create_struct.c,43,42,0.977,22,19,0.8640000000000001,1,1,1.0
ompi/datatype/.libs/ompi_datatype_create_subarray.c,33,0,0.0,8,0,0.0,1,0,0.0
ompi/datatype/.libs/ompi_datatype_create_vector.c,33,15,0.455,24,8,0.33299999999999996,2,1,0.5
ompi/datatype/.libs/ompi_datatype_external.c,40,36,0.9,14,7,0.5,3,3,1.0
ompi/datatype/.libs/ompi_datatype_external32.c,8,8,1.0,4,2,0.5,2,2,1.0
ompi/datatype/.libs/ompi_datatype_get_elements.c,22,0,0.0,16,0,0.0,1,0,0.0
ompi/datatype/.libs/ompi_datatype_match_size.c,13,0,0.0,12,0,0.0,1,0,0.0
ompi/datatype/.libs/ompi_datatype_module.c,155,137,0.884,212,108,0.509,4,4,1.0
ompi/datatype/.libs/ompi_datatype_sndrcv.c,48,0,0.0,36,0,0.0,1,0,0.0
ompi/datatype/.libs/opal_convertor.h,19,18,0.9470000000000001,12,9,0.75,3,3,1.0
